"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
5.4,3.9,1.7,0.4,NA
5,3.4,1.5,0.2,NA
5.8,4,1.2,0.2,NA
5.4,3.9,1.3,0.4,NA
4.4,3,1.3,0.2,NA
5.1,3.4,1.5,0.2,NA
4.8,3,1.4,0.3,NA
6.9,3.1,4.9,1.5,NA
5.7,2.8,4.5,1.3,NA
6.3,3.3,4.7,1.6,NA
6,2.2,4,1,NA
6.1,2.9,4.7,1.4,NA
5.6,3,4.5,1.5,NA
6.6,3,4.4,1.4,NA
5.7,2.6,3.5,1,NA
5.5,2.4,3.7,1,NA
6,2.7,5.1,1.6,NA
5.4,3,4.5,1.5,NA
5.6,3,4.1,1.3,NA
6.1,3,4.6,1.4,NA
5.8,2.6,4,1.2,NA
6.2,2.9,4.3,1.3,NA
6.3,3.3,6,2.5,NA
4.9,2.5,4.5,1.7,NA
5.7,2.5,5,2,NA
6.5,3,5.5,1.8,NA
5.6,2.8,4.9,2,NA
6.2,2.8,4.8,1.8,NA
6,3,4.8,1.8,NA
6.2,3.4,5.4,2.3,NA
